step_order,step_name,script,status,return_code,start_time,end_time,duration_seconds,description,error_message
1,Raw Data Profiling,check_raw_data.py,PASS,0,2026-07-10 20:02:41,2026-07-10 20:02:46,5.36,Profile raw CSV files and generate raw data profiling reports.,
2,Raw to ODS Loading,load_raw_to_ods.py,PASS,0,2026-07-10 20:02:46,2026-07-10 20:02:57,11.26,Load raw CSV files into the ODS layer with technical fields.,
3,DWD Order Detail Building,build_dwd_order_detail.py,PASS,0,2026-07-10 20:02:57,2026-07-10 20:03:06,8.47,Build the DWD order-level detail wide table.,
4,DWS Daily Order Summary Building,build_dws_daily_order_summary.py,PASS,0,2026-07-10 20:03:06,2026-07-10 20:03:09,3.5,Build the DWS daily order summary table.,
5,ADS Daily Business Overview Building,build_ads_daily_business_overview.py,PASS,0,2026-07-10 20:03:09,2026-07-10 20:03:11,1.4,Build the ADS dashboard-ready daily business overview table.,
6,Data Quality Checks,run_data_quality_checks.py,PASS,0,2026-07-10 20:03:11,2026-07-10 20:03:18,7.91,"Run data quality checks across ODS, DWD, DWS, ADS, and cross-layer metrics.",
7,Dashboard Chart Building,build_dashboard_charts.py,PASS,0,2026-07-10 20:03:18,2026-07-10 20:03:26,7.14,Generate dashboard charts and KPI summary from the ADS layer.,
